time,z0_0,z0_1,z0_2,z0_3,z0_4,z0_5,z0_6,z0_7,z1_0,z1_1,z1_2,z1_3,z1_4,z1_5,z1_6,z1_7,z2_0,z2_1,z2_2,z2_3,z2_4,z2_5,z2_6,z2_7,z3_0,z3_1,z3_2,z3_3,z3_4,z3_5,z3_6,z3_7,z4_0,z4_1,z4_2,z4_3,z4_4,z4_5,z4_6,z4_7,z5_0,z5_1,z5_2,z5_3,z5_4,z5_5,z5_6,z5_7,z6_0,z6_1,z6_2,z6_3,z6_4,z6_5,z6_6,z6_7,z7_0,z7_1,z7_2,z7_3,z7_4,z7_5,z7_6,z7_7
16:33:51.737,490,2945,135,3019,3154,3249,3337,448,142,146,243,294,3324,3363,3458,0,142,748,318,337,371,0,3490,3042,826,863,2787,494,464,693,3128,3142,747,845,907,499,484,817,3350,3294,669,728,806,783,756,758,3498,3397,637,644,674,766,943,939,914,3597,601,580,606,643,855,829,830,3266
16:33:52.644,492,2926,135,3035,3145,3239,3289,448,141,140,243,321,3281,3383,3490,0,142,725,769,343,388,538,3009,3025,827,858,2758,491,457,2991,3135,3171,749,842,924,492,477,825,3278,3294,671,730,808,780,781,799,3657,3474,638,646,674,777,913,916,3689,3586,605,583,606,643,853,836,830,3207
16:33:53.654,490,2971,135,3021,3141,3245,3281,2963,146,146,260,324,384,3401,3468,2871,142,726,728,341,400,538,3580,3069,819,854,2777,489,463,3051,3095,3193,752,843,907,491,474,794,3278,3330,668,725,819,750,749,759,3584,3431,636,643,684,752,752,850,915,3516,607,589,609,647,856,829,834,3222
16:33:54.648,502,2951,135,3026,3103,3223,3292,3014,143,144,245,320,3280,3389,3475,2865,142,783,319,320,388,538,3014,3036,830,866,2791,491,463,3015,3111,3162,755,848,902,495,467,786,3294,3299,556,682,826,761,753,779,719,3446,582,637,690,774,780,897,868,3604,518,542,617,655,851,841,838,3211
16:33:55.638,517,2888,134,3012,3123,3216,3337,3014,139,146,270,325,3348,3423,3520,2936,138,704,343,346,499,3002,2957,3066,769,781,2769,497,460,592,3097,3154,701,741,782,502,471,631,617,3297,608,661,731,688,596,586,592,593,555,613,647,607,578,595,596,553,543,528,564,609,752,679,803,3246
16:33:56.632,420,2868,134,3052,3112,3244,3280,2905,143,145,228,319,467,3388,3492,2936,137,697,321,358,548,3439,532,2993,759,768,787,491,462,580,3089,3171,693,727,769,499,476,618,590,3269,603,654,718,717,584,569,561,553,552,604,632,572,554,561,565,543,541,529,570,602,568,578,728,3281
16:33:57.622,521,2969,133,3027,3099,3232,3313,2905,142,147,272,351,489,3404,3477,2936,138,683,387,350,527,546,3601,3026,772,790,823,492,467,2995,3092,3189,698,728,775,502,492,612,612,3262,590,649,717,618,570,574,571,560,554,594,637,605,569,576,580,593,544,531,560,608,693,704,795,3208
16:33:58.617,485,2939,134,3041,3144,3217,3314,3186,144,143,254,299,3359,3408,3538,2936,139,271,318,347,451,496,3023,3056,952,953,2813,495,464,3017,3083,3183,463,854,878,483,462,462,572,3289,484,673,806,748,665,669,682,3273,483,608,682,693,654,657,672,593,428,436,583,641,731,684,819,3241
16:33:59.607,788,2963,134,2968,3147,3204,3301,3186,141,145,274,325,461,3401,3507,2958,141,266,337,342,427,512,3086,3047,963,968,2767,486,459,3043,3134,3149,459,889,874,487,470,3153,3271,3318,486,722,838,714,690,685,705,3273,475,588,689,694,667,668,676,3512,425,444,584,655,691,691,804,3256
16:34:00.601,809,2976,134,3076,3192,3229,3332,2958,143,143,265,322,358,3407,3458,2958,142,262,371,357,414,2818,3086,3047,354,962,2749,482,459,3020,3163,3155,464,890,912,491,468,3168,3261,3297,491,694,842,752,680,702,711,3463,475,590,698,684,667,674,682,3512,429,445,585,652,698,718,809,3306
16:34:01.592,813,2939,134,3064,3109,3218,3305,2958,141,143,399,315,361,3374,3477,2983,142,274,332,341,444,442,3092,3040,949,967,2780,489,459,3048,3110,3165,465,892,889,487,466,3193,3303,3302,485,690,828,741,686,696,700,3507,474,599,696,701,664,671,679,3400,427,444,578,647,711,712,808,3228
16:34:02.584,829,2955,134,2990,3109,3250,3324,2958,144,146,248,309,396,3381,3475,2986,142,271,318,329,400,466,3546,3083,953,952,2790,495,457,3054,3110,3149,467,897,891,489,477,666,3225,3261,480,727,835,702,691,697,693,3507,472,595,701,697,674,681,677,3400,427,450,583,656,786,790,820,3240
16:34:03.576,804,2954,134,3021,3157,3213,3314,2958,141,145,269,310,3333,3399,3466,2985,142,275,315,349,381,506,3546,3117,941,984,2792,490,460,3038,3132,3181,467,892,893,491,470,746,3272,3301,488,569,837,717,694,704,704,3303,518,539,693,718,685,684,731,3400,440,421,578,642,823,807,824,3299
16:34:04.569,812,2973,134,3024,3139,3224,3343,2958,144,147,260,311,3277,3422,3461,3055,146,246,622,318,435,3065,3006,3057,490,959,2788,493,470,3073,3107,3147,523,896,900,492,482,749,3327,3317,554,739,847,730,708,709,709,3370,594,635,688,732,700,709,668,3400,565,569,583,663,850,826,822,3242
16:34:05.562,794,2985,135,2995,3134,3306,3308,2858,141,142,234,315,3304,3408,3516,3083,141,268,626,335,427,513,2963,3032,484,971,2774,484,459,3023,3090,3171,522,897,913,486,480,741,651,3304,597,741,854,722,710,718,732,3299,596,628,691,726,702,684,720,3400,570,570,590,674,856,825,823,3273
